taxid	organism_name	kingdom	source	accession	assembly_level	release_date	has_annotation	country	protein_coding_genes	scaffold_n50_kb	total_length_mb	fasta_type	busco_lineage	selection_rank	selection_reason
4530	Oryza sativa	host	host_ensembl	oryza_sativa_arc	ensembl:63		True					cds		2	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_azucena	ensembl:63		True					cds		3	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_chaomeo	ensembl:63		True					cds		4	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_gobolsailbalam	ensembl:63		True					cds		5	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_ir64	ensembl:63		True					cds		6	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_ketannangka	ensembl:63		True					cds		7	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_khaoyaiguang	ensembl:63		True					cds		8	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_larhamugad	ensembl:63		True					cds		9	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_lima	ensembl:63		True					cds		10	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_liuxu	ensembl:63		True					cds		11	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_mh63	ensembl:63		True					cds		12	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_n22	ensembl:63		True					cds		13	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_natelboro	ensembl:63		True					cds		14	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_pr106	ensembl:63		True					cds		15	host_cap:all
4530	Oryza sativa	host	host_ensembl	oryza_sativa_zs97	ensembl:63		True					cds		16	host_cap:all
4577	Zea mays	host	host_ensembl	zea_mays	ensembl:63		True					cds		1	host_cap:1
3847	Glycine max	host	host_ensembl	glycine_max	ensembl:63		True					cds		1	host_cap:1
4081	Solanum lycopersicum	host	host_ensembl	solanum_lycopersicum_gca000188115v5cm	ensembl:63		True					cds		1	host_cap:1
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare	ensembl:63		True					cds		1	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_10tj18	ensembl:63		True					cds		2	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_aizu6	ensembl:63		True					cds		3	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_barke	ensembl:63		True					cds		4	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_bonus	ensembl:63		True					cds		5	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_bowman	ensembl:63		True					cds		6	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_ft11	ensembl:63		True					cds		7	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_ft262	ensembl:63		True					cds		8	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_ft286	ensembl:63		True					cds		9	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_ft628	ensembl:63		True					cds		10	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_goldenpromise	ensembl:63		True					cds		11	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor10096	ensembl:63		True					cds		12	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor10350	ensembl:63		True					cds		13	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor10892	ensembl:63		True					cds		14	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor1168	ensembl:63		True					cds		15	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor12184	ensembl:63		True					cds		16	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor13594	ensembl:63		True					cds		17	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor13942	ensembl:63		True					cds		18	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor14273	ensembl:63		True					cds		19	host_cap:20
4513	Hordeum vulgare	host	host_ensembl	hordeum_vulgare_hor1702	ensembl:63		True					cds		20	host_cap:20
3708	Brassica napus	host	host_ensembl	brassica_napus	ensembl:63		True					cds		1	host_cap:1
29760	Vitis vinifera	host	host_ensembl	vitis_vinifera	ensembl:63		True					cds		1	host_cap:1
3750	Malus domestica	host	host_ensembl	malus_domestica_golden	ensembl:63		True					cds		1	host_cap:1
4236	Lactuca sativa	host	host_ensembl	lactuca_sativa_gca002870075v4gb	ensembl:63		True					cds		1	host_cap:1
3702	Arabidopsis thaliana	host	host_ensembl	arabidopsis_thaliana	ensembl:63		True					cds		1	host_cap:1
3888	Lathyrus oleraceus	host	host_ncbi	GCA_024323335.2			True		47515			cds		1	host_cap:1
4641	Musa acuminata	host	host_ensembl	musa_acuminata	ensembl:63		True					cds		1	host_cap:1
4511	Eleusine coracana	host	host_ncbi	GCA_032690845.1			True		48836			cds		1	host_cap:1
29780	Mangifera indica	host	host_ncbi	GCF_011075055.1			True		32071			cds		1	host_cap:1
4097	Nicotiana tabacum	host	host_ncbi	GCF_000715075.1			True		60381			cds		1	host_cap:1
3635	Gossypium hirsutum	host	host_ncbi	GCA_040938325.1			True		77237			cds		1	host_cap:1
3746	3746	host	host_ncbi	GCA_050043575.1			True		77630			cds		1	host_cap:1
4113	Solanum tuberosum	host	host_ensembl	solanum_tuberosum	ensembl:63		True					cds		1	host_cap:1
3818	Arachis hypogaea	host	host_ensembl	arachis_hypogaea	ensembl:63		True					cds		1	host_cap:1
3747	Fragaria x ananassa	host	host_ncbi	GCA_050043575.1			True		77630			cds		1	host_cap:1
3641	Theobroma cacao	host	host_ensembl	theobroma_cacao	ensembl:63		True					cds		1	host_cap:1
4555	Setaria italica	host	host_ensembl	setaria_italica	ensembl:63		True					cds		1	host_cap:1
4232	Helianthus annuus	host	host_ensembl	helianthus_annuus	ensembl:63		True					cds		1	host_cap:1
2711	Citrus sinensis	host	host_ncbi	GCA_022201065.1			True		27940			cds		1	host_cap:1
3659	Cucumis sativus	host	host_ensembl	cucumis_sativus	ensembl:63		True					cds		1	host_cap:1
4442	Camellia sinensis	host	host_ncbi	GCF_055761805.1			True		49341			cds		1	host_cap:1
15368	Brachypodium distachyon	host	host_ensembl	brachypodium_distachyon	ensembl:63		True					cds		1	host_cap:1
3749	3749	host	host_ncbi	GCF_042453785.1			True		39340			cds		1	host_cap:1
4039	Daucus carota	host	host_ensembl	daucus_carota	ensembl:63		True					cds		1	host_cap:1
4567	4567	host	host_ncbi	GCA_900231445.1			True		63862			cds		1	host_cap:1
3663	Cucurbita pepo	host	host_ncbi	GCF_002806865.2			True		29279			cds		1	host_cap:1
4146	Olea europaea	host	host_ensembl	olea_europaea	ensembl:63		True					cds		1	host_cap:1
2706	2706	host	host_ncbi	GCA_022201065.1			True		27940			cds		1	host_cap:1
4571	Triticum turgidum	host	host_ensembl	triticum_turgidum	ensembl:63		True					cds		1	host_cap:1
3906	Vicia faba	host	host_ensembl	vicia_faba	ensembl:63		True					cds		1	host_cap:1
37657	Silene latifolia	host	host_ncbi	GCF_048544455.1			True		46684			cds		1	host_cap:1
4045	Apium graveolens	host	host_ncbi	GCF_009905375.1			True		44727			cds		1	host_cap:1
4558	Sorghum bicolor	host	host_ensembl	sorghum_bicolor	ensembl:63		True					cds		1	host_cap:1
3983	Manihot esculenta	host	host_ensembl	manihot_esculenta	ensembl:63		True					cds		1	host_cap:1
4498	Avena sativa	host	host_ensembl	avena_sativa_gca947310285v1cm	ensembl:63		True					cds		1	host_cap:1
3690	Populus x canadensis	host	host_ncbi	GCA_051991645.1			True		74605			cds		1	host_cap:1
4120	Ipomoea batatas	host	host_ncbi	GCA_059738795.1			True		175755			cds		1	host_cap:1
