Run	BioProject	SRAStudy	Platform	ScientificName	host	host_pct	host_species_pct	primary_pathogen	primary_taxid	primary_pct	secondary_pathogens	secondary_kingdoms	n_secondary	known_interaction	co_infection_flag	same_genus_secondary	fungi_pct	virus_pct	bacteria_pct	oomycete_pct	nematode_pct	analyzed
SRR32667274	PRJNA1228670	SRP569900	ELEMENT	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	51.07	22.35	Orthotospovirus impatiensnecromaculae	3052576		Ophiovirus mirafioriense (6.6%); Mirafiori lettuce big-vein virus (3.6%); Varicosavirus lactucae (0.5%)	Viruses	3	False	multi_species	False	0.02	29.5	1.92	0.0	0.0	8665553
SRR34695332	PRJNA1228670	SRP569900	ELEMENT	Orthotospovirus impatiensnecromaculae	Orthotospovirus impatiensnecromaculae	40.9	30.0	Orthotospovirus impatiensnecromaculae	3052576		Ophiovirus mirafioriense (11.6%); Mirafiori lettuce big-vein virus (6.3%); Varicosavirus lactucae (0.9%)	Viruses	3	False	multi_species	False	0.03	42.49	1.34	0.0	0.0	30513586
SRR32667331	PRJNA1228670	SRP569900	ELEMENT	Orthotospovirus impatiensnecromaculae	Lactuca sativa	40.7	28.89	Orthotospovirus impatiensnecromaculae	3052576		Ophiovirus mirafioriense (1.6%); Mirafiori lettuce big-vein virus (0.9%); Varicosavirus lactucae (0.4%)	Viruses	3	True	multi_species	False	0.0	34.5	4.05	0.0	0.0	24753706
ERR15005468	PRJEB84390	ERP167864	ILLUMINA	Puccinia triticina	Puccinia triticina	46.3	11.21	Puccinia triticina	208348		Zymoseptoria tritici (1.9%); Puccinia graminis (0.1%)	Fungi	2	False	multi_species	True	13.95	0.55	12.05	0.0	0.0	24734974
SRR14318418	PRJNA686475	SRP316148	ILLUMINA	Fusarium oxysporum f. sp. rapae	Fusarium oxysporum	26.52	3.55	Fusarium oxysporum f. sp. rapae	485398		Fusarium odoratissimum (0.3%); Fusarium fujikuroi (0.1%)	Fungi	2	False	multi_species	True	16.42	0.09	0.98	0.0	0.0	2570496
SRR27895709	PRJNA1031678	SRP468185	ILLUMINA	Fusarium asiaticum	Fusarium pseudograminearum	4.26	2.88	Fusarium asiaticum	282267		Fusarium graminearum (28.5%); Fusarium pseudograminearum (2.9%)	Fungi	2	False	multi_species	True	56.52	0.0	0.83	0.0	0.0	18175153
SRR364406	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	43.7	29.49	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.0%); Colletotrichum gloeosporioides (0.2%)	Fungi	2	True	multi_species	True	4.81	0.0	0.01	0.0	0.0	13243795
SRR364407	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	43.1	29.04	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.0%); Colletotrichum gloeosporioides (0.2%)	Fungi	2	True	multi_species	True	4.75	0.0	0.01	0.0	0.0	12498467
DRR857919	PRJDB39409	DRP016427	BGISEQ	Penicillium italicum	Malus domestica	71.31	7.61	Penicillium italicum	40296		Penicillium expansum (1.4%); Penicillium digitatum (0.6%)	Fungi	2	False	multi_species	True	19.14	0.28	0.29	0.0	0.0	35332511
ERR3170209	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Parastagonospora nodorum	17.67	0.37	Puccinia striiformis	27350		Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.7%); Parastagonospora nodorum (0.4%)	Fungi	2	False	multi_species	True	2.9	0.0	8.91	0.0	0.0	17620826
SRR21195572	PRJNA872313	SRP393916	ILLUMINA	Colletotrichum siamense	Mangifera indica	67.81	64.1	Colletotrichum siamense	690259		Colletotrichum fructicola (1.2%); Colletotrichum gloeosporioides (0.4%)	Fungi	2	False	multi_species	True	24.69	0.07	0.17	0.0	0.0	36269911
SRR27895710	PRJNA1031678	SRP468185	ILLUMINA	Fusarium asiaticum	Fusarium pseudograminearum	8.62	2.67	Fusarium asiaticum	282267		Fusarium graminearum (25.7%); Fusarium pseudograminearum (2.7%)	Fungi	2	False	multi_species	True	51.91	0.0	1.13	0.0	0.0	18193150
ERR1607770	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Alternaria alternata	1.37	1.32	Puccinia striiformis	27350		Zymoseptoria tritici (2.4%); Alternaria alternata (1.3%)	Fungi	2	False	multi_species	False	9.45	0.0	12.9	0.0	0.0	13193905
ERR1607794	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Alternaria alternata	1.39	0.33	Puccinia striiformis	27350		Pyrenophora tritici-repentis (2.1%); Alternaria alternata (0.3%)	Fungi	2	False	multi_species	False	5.43	0.0	0.09	0.0	0.0	11749844
ERR12013065	PRJEB65589	ERP150722	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia triticina	21.34	0.91	Puccinia graminis f. sp. tritici			Puccinia graminis (35.0%); Puccinia triticina (0.9%)	Fungi	2		multi_species	True	40.3	0.01	1.22	0.0	0.0	33113773
ERR4315309	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	18.01	2.34	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (2.3%); Puccinia graminis (0.1%)	Fungi	2		multi_species	True	2.55	0.05	4.74	0.0	0.0	19042155
ERR12013064	PRJEB65589	ERP150722	ILLUMINA	Puccinia graminis f. sp. tritici	Alternaria ventricosa	1.01	0.11	Puccinia graminis f. sp. tritici			Puccinia graminis (14.1%); Parastagonospora nodorum (2.4%)	Fungi	2		multi_species	True	38.39	0.02	1.14	0.0	0.0	28944839
SRR12329590	PRJNA628751	SRP273687	ILLUMINA	Colletotrichum camelliae	Camellia sinensis	53.16	52.66	Colletotrichum camelliae	538528		Colletotrichum fructicola (18.7%); Colletotrichum higginsianum (0.2%)	Fungi	2	False	multi_species	True	22.93	0.0	1.2	0.0	0.0	36746917
ERR4315440	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	27.94	1.82	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (1.8%); Pyrenophora tritici-repentis (0.1%)	Fungi	2		multi_species	False	2.18	0.02	8.85	0.0	0.0	20195863
SRR21195571	PRJNA872313	SRP393916	ILLUMINA	Colletotrichum siamense	Mangifera indica	69.35	65.46	Colletotrichum siamense	690259		Colletotrichum fructicola (1.6%); Colletotrichum gloeosporioides (0.5%)	Fungi	2	False	multi_species	True	23.15	0.06	0.16	0.0	0.0	36360687
ERR12013055	PRJEB65589	ERP150722	ILLUMINA	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	16.8	4.74	Puccinia graminis f. sp. tritici			Puccinia graminis (31.1%); Zymoseptoria tritici (4.7%)	Fungi	2		multi_species	True	41.14	0.0	1.98	0.0	0.0	42543865
ERR6847894	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	18.23	9.35	Puccinia graminis f. sp. tritici			Puccinia graminis (26.7%); Zymoseptoria tritici (9.3%)	Fungi	2		multi_species	True	36.81	0.0	2.8	0.0	0.0	22957893
SRR33296424	PRJNA1248058	SRP580907	ILLUMINA	Phytophthora capsici	Capsicum annuum	7.58	6.69	Phytophthora capsici	4784		Phytophthora infestans (1.7%); Phytophthora sojae (0.8%)	Oomycota	2	True	multi_species	True	0.2	0.0	2.82	14.17	0.0	22408558
SRR23706858	PRJNA925193	SRP424972	ILLUMINA	Moniliophthora perniciosa	Theobroma cacao	51.04	41.28	Moniliophthora perniciosa	153609		Colletotrichum fructicola (2.3%); Colletotrichum siamense (0.4%)	Fungi	2	True	multi_species	False	13.44	0.0	1.28	0.0	0.0	93816086
ERR6847888	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Triticum aestivum	21.32	2.47	Puccinia graminis f. sp. tritici			Puccinia graminis (49.0%); Zymoseptoria tritici (0.1%)	Fungi	2		multi_species	True	49.3	0.0	1.13	0.0	0.0	22148586
ERR4315280	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Quercus lobata	8.89	1.41	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (0.9%); Parastagonospora nodorum (0.1%)	Fungi	2		multi_species	False	2.17	0.05	1.98	0.0	0.0	19529925
ERR3170233	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Alternaria alternata	17.35	2.27	Puccinia striiformis	27350		Alternaria alternata (2.3%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.4%)	Fungi	2	False	multi_species	True	4.65	0.0	9.8	0.0	0.0	20318822
ERR4315587	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Alternaria alternata	3.07	1.23	Puccinia striiformis f. sp. tritici			Alternaria alternata (1.2%); Pyrenophora tritici-repentis (0.4%)	Fungi	2		multi_species	False	8.24	0.01	11.54	0.0	0.0	18052376
ERR15005445	PRJEB84390	ERP167864	ILLUMINA	Puccinia triticina	Puccinia striiformis	28.05	21.88	Puccinia triticina	208348		Puccinia striiformis (21.9%); Puccinia graminis (9.1%)	Fungi	2	False	multi_species	True	37.89	0.05	3.55	0.0	0.0	16053697
ERR3300901	PRJEB32362	ERP115039	ILLUMINA	Pectobacterium carotovorum subsp. carotovorum	Pectobacterium versatile	5.27	0.62	Pectobacterium carotovorum subsp. carotovorum			Pectobacterium versatile (0.6%); Pectobacterium odoriferum (0.2%)	Bacteria	2		multi_species	True	0.0	0.0	61.19	0.0	0.0	5345548
ERR3300902	PRJEB32362	ERP115039	ILLUMINA	Pectobacterium carotovorum subsp. carotovorum	Pectobacterium versatile	5.13	0.62	Pectobacterium carotovorum subsp. carotovorum			Pectobacterium versatile (0.6%); Pectobacterium odoriferum (0.2%)	Bacteria	2		multi_species	True	0.0	0.0	60.35	0.0	0.0	5803013
ERR3300903	PRJEB32362	ERP115039	ILLUMINA	Pectobacterium carotovorum subsp. carotovorum	Pectobacterium versatile	5.07	0.62	Pectobacterium carotovorum subsp. carotovorum			Pectobacterium versatile (0.6%); Pectobacterium odoriferum (0.2%)	Bacteria	2		multi_species	True	0.0	0.0	60.3	0.0	0.0	5878525
ERR1607841	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	3.36	1.81	Puccinia striiformis	27350		Zymoseptoria tritici (1.8%); Alternaria alternata (0.4%)	Fungi	2	False	multi_species	False	4.76	0.0	0.13	0.0	0.0	9910672
SRR27895711	PRJNA1031678	SRP468185	ILLUMINA	Fusarium asiaticum	Oryza sativa	49.4	11.46	Fusarium asiaticum	282267		Fusarium graminearum (7.6%); Fusarium pseudograminearum (0.7%)	Fungi	2	False	multi_species	True	16.08	0.0	2.11	0.0	0.0	18296092
SRR19880683	PRJNA853137	SRP383901	ILLUMINA	Alternaria alternata	Meyerozyma guilliermondii	2.39	0.1	Alternaria alternata	5599		Cercospora beticola (9.8%); Cercospora kikuchii (4.7%)	Fungi	2	False	multi_species	False	46.64	0.01	0.15	0.0	0.0	9574324
SRR31919489	PRJNA1207595	SRP555889	ILLUMINA	Phytophthora capsici	Capsicum annuum	6.44	5.78	Phytophthora capsici	4784		Phytophthora nicotianae (3.2%); Phytophthora infestans (2.0%)	Oomycota	2	True	multi_species	True	0.08	0.0	0.43	15.27	0.0	31253777
SRR32938368	PRJNA1244880	SRP575731	ILLUMINA	Phytophthora capsici	Capsicum annuum	60.7	53.15	Phytophthora capsici	4784		Phytophthora infestans (0.5%); Phytophthora sojae (0.3%)	Oomycota	2	True	multi_species	True	2.71	0.0	0.31	4.41	0.0	86630253
SRR34575206	PRJNA1292970	SRP601665	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia graminis	55.92	11.46	Puccinia graminis f. sp. tritici			Puccinia graminis (11.5%); Puccinia triticina (0.5%)	Fungi	2		multi_species	True	14.62	0.0	0.65	0.0	0.0	13030743
ERR1607756	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	8.83	1.63	Puccinia striiformis	27350		Zymoseptoria tritici (1.6%); Puccinia graminis (0.1%)	Fungi	2	False	multi_species	True	2.05	0.0	0.6	0.0	0.0	19857971
SRR364405	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	35.64	23.85	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.3%); Colletotrichum gloeosporioides (0.3%)	Fungi	2	True	multi_species	True	6.41	0.0	0.02	0.0	0.0	11901192
SRR364404	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	36.26	24.29	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.3%); Colletotrichum gloeosporioides (0.3%)	Fungi	2	True	multi_species	True	6.41	0.0	0.02	0.0	0.0	12569810
ERR4315685	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Terrabacteria group	4.95	1.23	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (14.0%); Bipolaris sorokiniana (0.1%)	Fungi	2		multi_species	False	17.98	0.04	5.73	0.0	0.0	19804677
ERR1607768	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	4.42	3.04	Puccinia striiformis	27350		Zymoseptoria tritici (3.0%); Alternaria alternata (0.4%)	Fungi	2	False	multi_species	False	5.66	0.0	4.9	0.0	0.0	19055887
SRR7797542	PRJNA486288	SRP159931	ILLUMINA	Fusarium graminearum	Aegilops tauschii	15.41	13.26	Fusarium graminearum	5518		Alternaria alternata (1.0%); Fusarium pseudograminearum (0.2%)	Fungi	2	False	multi_species	True	28.47	0.0	0.09	0.0	0.0	35893202
ERR3170261	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Puccinia striiformis	6.29	1.78	Puccinia striiformis	27350		Parastagonospora nodorum (0.8%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.5%)	Fungi	2	False	multi_species	True	5.11	0.04	2.7	0.0	0.0	22475657
SRR34575229	PRJNA1292970	SRP601665	ILLUMINA	Puccinia graminis f. sp. tritici	Parastagonospora nodorum	4.93	0.11	Puccinia graminis f. sp. tritici			Puccinia graminis (36.9%); Parastagonospora nodorum (0.1%)	Fungi	2		multi_species	True	45.32	0.0	0.83	0.0	0.0	26283553
ERR6847887	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Parastagonospora nodorum	22.58	0.87	Puccinia graminis f. sp. tritici			Puccinia graminis (36.8%); Parastagonospora nodorum (0.9%)	Fungi	2		multi_species	True	40.34	0.0	2.04	0.0	0.0	27678906
SRR18188804	PRJNA811707	SRP362092	BGISEQ	Penicillium italicum	Penicillium expansum	7.71	4.89	Penicillium italicum	40296		Penicillium expansum (4.9%); Penicillium digitatum (1.8%)	Fungi	2	False	multi_species	True	41.67	0.0	0.22	0.0	0.0	42933166
SRR31011679	PRJNA1173477	SRP538830	ILLUMINA	Colletotrichum gloeosporioides	Mangifera indica	75.84	72.0	Colletotrichum gloeosporioides	474922		Colletotrichum siamense (1.1%); Colletotrichum fructicola (0.4%)	Fungi	2	True	multi_species	True	17.63	0.13	0.11	0.0	0.0	23671912
SRR27895681	PRJNA1031678	SRP468185	ILLUMINA	Fusarium asiaticum	Fusarium graminearum	83.55	2.08	Fusarium asiaticum	282267		Fusarium graminearum (2.1%); Fusarium pseudograminearum (0.2%)	Fungi	2	False	multi_species	True	4.51	0.0	0.46	0.0	0.0	18249696
ERR6847881	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	9.9	0.76	Puccinia graminis f. sp. tritici			Puccinia graminis (51.1%); Zymoseptoria tritici (0.8%)	Fungi	2		multi_species	True	51.98	0.11	2.27	0.0	0.0	23751397
ERR4315308	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Alternaria alternata	6.85	0.98	Puccinia striiformis f. sp. tritici			Alternaria alternata (1.0%); Bipolaris sorokiniana (0.1%)	Fungi	2		multi_species	False	4.89	0.03	9.63	0.0	0.0	19104820
SRR34575220	PRJNA1292970	SRP601665	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia triticina	17.44	3.05	Puccinia graminis f. sp. tritici			Puccinia triticina (3.0%); Parastagonospora nodorum (1.0%)	Fungi	2		multi_species	True	28.05	0.02	1.2	0.0	0.0	26076236
SRR13666654	PRJNA700975	SRP305488	ILLUMINA	Sporisorium reilianum	Zea mays	66.53	55.61	Sporisorium reilianum	72558		Fusarium verticillioides 7600 (1.2%); Fusarium proliferatum (0.1%)	Fungi	2	True	multi_species	False	2.05	0.0	0.39	0.0	0.0	18623799
ERR6847893	PRJEB47693	ERP131992	ILLUMINA	Puccinia graminis f. sp. tritici	Zymoseptoria tritici	39.61	5.87	Puccinia graminis f. sp. tritici			Zymoseptoria tritici (5.9%); Puccinia triticina (2.2%)	Fungi	2		multi_species	True	34.05	0.01	0.63	0.0	0.0	24692751
SRR14318406	PRJNA686475	SRP316148	ILLUMINA	Fusarium oxysporum f. sp. raphani	Solanum lycopersicum	8.55	3.27	Fusarium oxysporum f. sp. raphani			Fusarium oxysporum (13.4%); Fusarium verticillioides (0.2%)	Fungi	2		multi_species	True	42.42	0.0	0.91	0.0	0.0	627616
SRR31919485	PRJNA1207595	SRP555889	ILLUMINA	Phytophthora capsici	Solanum lycopersicum	23.04	11.95	Phytophthora capsici	4784		Phytophthora nicotianae (2.8%); Phytophthora infestans (1.7%)	Oomycota	2	True	multi_species	True	0.01	0.0	0.33	13.28	0.0	21451057
ERR4315264	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Puccinia graminis	6.56	0.12	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (13.9%); Puccinia graminis (0.1%)	Fungi	2		multi_species	True	14.33	0.06	4.25	0.0	0.0	18142124
SRR27895708	PRJNA1031678	SRP468185	ILLUMINA	Fusarium asiaticum	Fusarium pseudograminearum	11.51	2.47	Fusarium asiaticum	282267		Fusarium graminearum (24.2%); Fusarium pseudograminearum (2.5%)	Fungi	2	False	multi_species	True	48.7	0.0	0.71	0.0	0.0	18145239
ERR1607838	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	BOP clade	1.92	0.87	Puccinia striiformis	27350		Zymoseptoria tritici (3.4%); Pyrenophora tritici-repentis (0.1%)	Fungi	2	False	multi_species	False	11.62	0.0	0.17	0.0	0.0	18953425
ERR1607846	PRJEB15280	ERP016995	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	2.19	1.38	Puccinia striiformis	27350		Zymoseptoria tritici (1.4%); Alternaria alternata (0.6%)	Fungi	2	False	multi_species	False	4.53	0.0	0.2	0.0	0.0	29758279
SRR7797537	PRJNA486288	SRP159931	ILLUMINA	Fusarium graminearum	Aegilops tauschii	3.47	3.09	Fusarium graminearum	5518		Fusarium pseudograminearum (0.8%); Alternaria alternata (0.1%)	Fungi	2	False	multi_species	True	82.27	0.0	0.02	0.0	0.0	27933123
ERR15005450	PRJEB84390	ERP167864	ILLUMINA	Puccinia triticina	Triticum aestivum	25.86	1.97	Puccinia triticina	208348		Parastagonospora nodorum (0.8%); Puccinia striiformis (0.1%)	Fungi	2	True	multi_species	True	35.98	0.21	7.57	0.0	0.0	29750480
SRR18901626	PRJNA831271	SRP371880	ILLUMINA	Pseudomonas syringae pv. syringae	Pseudomonas syringae	5.13	0.42	Pseudomonas syringae pv. syringae			Pseudomonas syringae (0.4%); Pseudomonas syringae pv. syringae B728a (0.1%)	Bacteria	2		multi_species	True	0.0	0.0	48.89	0.0	0.0	24408584
SRR18901627	PRJNA831271	SRP371880	ILLUMINA	Pseudomonas syringae pv. syringae	Pseudomonas syringae	5.21	0.42	Pseudomonas syringae pv. syringae			Pseudomonas syringae (0.4%); Pseudomonas syringae pv. syringae B728a (0.1%)	Bacteria	2		multi_species	True	0.0	0.0	48.95	0.0	0.0	23739012
ERR3170241	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Triticum aestivum	2.79	0.51	Puccinia striiformis	27350		Alternaria alternata (5.6%); Alternaria solani (0.3%)	Fungi	2	True	multi_species	False	10.75	0.1	9.45	0.0	0.0	15118889
SRR34575281	PRJNA1292970	SRP601665	ILLUMINA	Puccinia graminis f. sp. tritici	Puccinia graminis	36.38	30.08	Puccinia graminis f. sp. tritici			Puccinia graminis (30.1%); Puccinia triticina (5.1%)	Fungi	2		multi_species	True	37.82	0.01	1.14	0.0	0.0	13204053
SRR13872294	PRJNA383548	SRP139898	ILLUMINA	Phytophthora cactorum	Fragaria vesca	43.26	36.4	Phytophthora cactorum	29920		Phytophthora infestans (2.5%); Phytophthora parasitica (1.4%)	Oomycota	2	False	multi_species	True	0.07	0.0	8.19	7.98	0.0	74561138
ERR4315366	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Alternaria alternata	6.86	1.5	Puccinia striiformis f. sp. tritici			Alternaria alternata (1.5%); Exserohilum turcicum (0.2%)	Fungi	2		multi_species	False	10.94	0.01	7.61	0.0	0.0	19225280
SRR364409	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	20.1	13.52	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.4%); Colletotrichum gloeosporioides (0.4%)	Fungi	2	True	multi_species	True	7.01	0.0	0.02	0.0	0.0	11839516
SRR364408	PRJNA148307	SRP009324	ILLUMINA	Colletotrichum higginsianum	Arabidopsis thaliana	20.52	13.83	Colletotrichum higginsianum	80884		Colletotrichum graminicola (1.5%); Colletotrichum gloeosporioides (0.4%)	Fungi	2	True	multi_species	True	7.01	0.0	0.02	0.0	0.0	12520375
SRR14298045	PRJNA542165	SRP197368	ILLUMINA	Fusarium asiaticum	Fusarium graminearum	28.42	4.95	Fusarium asiaticum	282267		Fusarium graminearum (4.9%); Fusarium pseudograminearum (0.4%)	Fungi	2	False	multi_species	True	8.92	0.0	0.55	0.0	0.0	102499394
ERR4315360	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Alternaria alternata	9.33	1.73	Puccinia striiformis f. sp. tritici			Alternaria alternata (1.7%); Pyrenophora tritici-repentis (0.6%)	Fungi	2		multi_species	False	11.06	0.02	4.61	0.0	0.0	19505055
ERR3170255	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Alternaria solani	7.06	0.22	Puccinia striiformis	27350		Alternaria alternata (13.3%); Alternaria solani (0.2%)	Fungi	2	False	multi_species	False	20.85	0.15	2.12	0.0	0.0	19553110
ERR4315540	PRJEB39201	ERP122692	ILLUMINA	Puccinia striiformis f. sp. tritici	Zymoseptoria tritici	14.72	2.4	Puccinia striiformis f. sp. tritici			Zymoseptoria tritici (2.4%); Puccinia graminis (0.1%)	Fungi	2		multi_species	True	2.82	0.05	1.09	0.0	0.0	23810929
ERR15005501	PRJEB84390	ERP167864	ILLUMINA	Puccinia triticina	Zymoseptoria tritici	47.09	13.5	Puccinia triticina	208348		Zymoseptoria tritici (13.5%); Puccinia graminis (0.1%)	Fungi	2	False	multi_species	True	23.45	0.61	3.63	0.0	0.0	25255041
DRR857920	PRJDB39409	DRP016427	BGISEQ	Penicillium italicum	Malus domestica	65.85	7.03	Penicillium italicum	40296		Penicillium expansum (1.8%); Penicillium digitatum (1.0%)	Fungi	2	False	multi_species	True	23.13	0.29	0.15	0.0	0.0	35387403
SRR8872934	PRJNA531386	SRP191617	ILLUMINA	Fusarium odoratissimum	Cucurbiteae	1.03	0.86	Fusarium odoratissimum	2502994		Fusarium oxysporum (58.9%); Fusarium fujikuroi (1.4%)	Fungi	2	False	multi_species	True	83.3	0.01	0.13	0.0	0.0	17244598
ERR3170180	PRJEB31334	ERP113880	ILLUMINA	Puccinia striiformis	Zymoseptoria tritici	14.25	0.48	Puccinia striiformis	27350		Zymoseptoria tritici (0.5%); Puccinia graminis f. sp. tritici CRL 75-36-700-3 (0.3%)	Fungi	2	False	multi_species	True	5.03	0.0	4.91	0.0	0.0	19672947
